conversation_num,message,timestamp,organization,speaker_id
01HP1Y7T38P7KHDBVR7WBR0E2Y,Hello,14.513,Organization A,01HP1Y0BYZYCH5G71KXY7GEEQ1
01HP1Y7T38P7KHDBVR7WBR0E2Y,Hi,19.605,Organization B,01HP1Y0EH6DCFSKNN4MJYDQQ86
01HP1Y7T38P7KHDBVR7WBR0E2Y,Hello,20.165,Organization C,01HP1Y14RXGH16Q1C18Y0XEX28
01HP1Y7T38P7KHDBVR7WBR0E2Y,What exactly are we negotiating?,42.521,Organization A,01HP1Y0BYZYCH5G71KXY7GEEQ1
01HP1Y7T38P7KHDBVR7WBR0E2Y,An agreement for points for our organization,57.612,Organization B,01HP1Y0EH6DCFSKNN4MJYDQQ86
01HP1Y7T38P7KHDBVR7WBR0E2Y,"Just whether we are going to agree at all, I guess?",64.164,Organization C,01HP1Y14RXGH16Q1C18Y0XEX28
01HP1Y7T38P7KHDBVR7WBR0E2Y,Yes if we all agree we get the max amount of point,76.605,Organization B,01HP1Y0EH6DCFSKNN4MJYDQQ86
01HP1Y7T38P7KHDBVR7WBR0E2Y,"Going off of the rules, if we agree to the deal we all get 121 points.",84.166,Organization C,01HP1Y14RXGH16Q1C18Y0XEX28
01HP1Y7T38P7KHDBVR7WBR0E2Y,There's no reason to not all agree - that is in all of our best interest,88.507,Organization A,01HP1Y0BYZYCH5G71KXY7GEEQ1
01HP1Y7T38P7KHDBVR7WBR0E2Y,Yup agreed that we should agree ;),97.612,Organization B,01HP1Y0EH6DCFSKNN4MJYDQQ86
01HP1Y7T38P7KHDBVR7WBR0E2Y,We will each get 121,103.605,Organization B,01HP1Y0EH6DCFSKNN4MJYDQQ86
01HP1Y7T38P7KHDBVR7WBR0E2Y,ok- let's say an agreement was reached and that if they asked what the agreement is its for 121,109.517,Organization A,01HP1Y0BYZYCH5G71KXY7GEEQ1
01HP1Y7T38P7KHDBVR7WBR0E2Y,"Yeah, so I guess just agree and put 121 for everyone.",111.167,Organization C,01HP1Y14RXGH16Q1C18Y0XEX28
01HP1Y7T38P7KHDBVR7WBR0E2Y,sounds good,116.514,Organization A,01HP1Y0BYZYCH5G71KXY7GEEQ1
01HP1YAGDJ5BYYPNWKPEG7MJCC,Hello!,3.685,Organization B,01HP1Y2GGWDSNJ7M11PQ151BNQ
01HP1YAGDJ5BYYPNWKPEG7MJCC,Hi,8.854,Organization A,01HP1Y44PWETRAEAH28ZWMVR4S
01HP1YAGDJ5BYYPNWKPEG7MJCC,Hi.,12.74,Organization C,01HP1Y1B6F37JW0WRHZHVR0J56
01HP1YAGDJ5BYYPNWKPEG7MJCC,So how do we want to do this?,30.68,Organization B,01HP1Y2GGWDSNJ7M11PQ151BNQ
01HP1YAGDJ5BYYPNWKPEG7MJCC,How about we agree to split 3 ways.,35.701,Organization C,01HP1Y1B6F37JW0WRHZHVR0J56
01HP1YAGDJ5BYYPNWKPEG7MJCC,Split the 121 3 ways,41.831,Organization A,01HP1Y44PWETRAEAH28ZWMVR4S
01HP1YAGDJ5BYYPNWKPEG7MJCC,I propose that we all work together and split three ways.,45.683,Organization B,01HP1Y2GGWDSNJ7M11PQ151BNQ
01HP1YAGDJ5BYYPNWKPEG7MJCC,"Excellent, we are all in agrement.",53.675,Organization B,01HP1Y2GGWDSNJ7M11PQ151BNQ
01HP1YAGDJ5BYYPNWKPEG7MJCC,I think that way all of us get points,56.726,Organization C,01HP1Y1B6F37JW0WRHZHVR0J56
01HP1YAGDJ5BYYPNWKPEG7MJCC,So 121 each?,75.718,Organization C,01HP1Y1B6F37JW0WRHZHVR0J56
